,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,label
30,23.40036968,-0.496293552,-3.297250958,1.825239606,-0.524787102,0.310299174,1.094914108,-2.763608851,-1.620383103,-0.134790652,0.61989705,0.043241054,1.015116349,1.61483225,-0.633865354,1.390360904,-0.065680504,-0.205252783,0.536137622,-0.471414681,-0.103816862,-0.932813929,-0.022632012,0.94493286,-0.124865671,0.553788898,0.180864215,0.241155071,-0.13756605,0.007206556,0.334211232,0.241943449,-0.212892887,0.576930938,-0.75431254,0.275650053,0.047900545,0.430258725,-0.278703761,0.106188861,-0.027663397,-0.335071564,1
31,8.959847755,-0.543658009,-4.629613945,-0.4905694,-2.447364168,1.223551718,0.936377462,1.402122923,0.097744779,1.254795124,0.857927877,1.053718495,1.037289094,0.419179566,1.487010838,1.215961642,-0.006417592,-0.037339708,-0.468941193,0.526590555,2.150926252,-0.652146141,0.023165849,-0.934246511,0.180468061,-0.695129952,-0.700617936,-1.201712272,0.363791676,0.02330736,-0.173738086,0.931612447,-0.918365704,0.895891181,0.051695598,0.665426687,0.88417464,-0.743480338,-0.138689003,0.674110273,-0.984356902,-2.420341878,1
32,21.40979815,-1.216893425,-3.799049434,-0.044071612,0.204439926,1.281608096,2.764187777,-2.518528168,-0.155561584,-0.001833416,1.191193784,-0.932624127,-0.057015521,1.933891832,-0.492051486,1.165428619,0.022362494,0.022662725,1.610549346,-0.621104515,-0.841794598,-1.164887057,0.055520263,0.712346005,0.332887285,0.316121576,-0.569451955,1.187496497,-0.516918971,0.066314305,0.685324537,0.303429282,-0.922312258,0.47085956,-0.500163524,-0.083137046,0.068364139,0.604882486,-0.665944434,0.132712815,0.44124484,-0.650760889,1
33,5.478023821,1.877181533,-3.188223794,-4.101523735,-1.792354595,-0.133690736,2.460195795,0.510555993,-1.929938212,-0.917362925,1.066418556,-0.80816251,-0.666820675,1.739269023,1.494792319,-1.001069192,0.979352381,0.004448848,-0.04367904,-0.670708896,0.91248,1.662267341,-1.857594636,-1.905269121,0.162187335,0.038247967,-2.585340571,0.322477617,2.276607963,0.723414871,-0.773962093,-0.310804223,0.227517481,0.735683697,1.18937187,0.290851487,0.380692365,0.950649758,-1.036975315,-1.135139968,-0.852431336,0.8782273,1
34,22.58967815,1.921586131,-3.203652683,1.09129189,-0.455943558,-0.717879353,1.932791719,-1.68821563,-1.817761697,-0.652750692,1.24242334,-0.086584602,1.537808468,1.762313545,-0.721760975,1.465103626,0.108547199,-0.800897917,0.949196483,-1.655394124,0.023178197,-0.537450589,-0.55659165,0.773745377,0.538485173,-0.160723829,-1.053401619,1.198315565,0.164037127,-0.86529601,0.49735808,0.701438198,-0.663544803,0.773721808,-0.486283269,-0.351628521,0.441398776,-0.004115524,-0.236915672,-0.361396459,-0.114182722,0.050073541,1
35,-2.292697421,-3.303768458,-1.78725292,-2.667832909,-3.367065611,-2.274035336,-1.283967674,0.078445988,-0.819747982,2.239942585,1.145160157,1.498916975,-0.490628584,1.840699797,0.053428255,-0.211278545,1.036935004,-0.323322297,-1.455951597,-0.764153402,0.266074067,-0.345893976,-1.952565246,-0.436743433,-1.772409997,-0.082660197,-0.083915608,1.300989748,0.527818264,-0.319179448,-1.418114836,0.338254271,-0.441852111,0.727085594,0.842180795,-0.017773014,1.004512879,0.274617129,1.509978872,-0.834458116,-0.491383501,-1.356888016,1
36,22.56793862,0.54979599,-3.343244354,1.833122845,-1.285902201,0.001988001,0.980593947,-2.411699517,-1.32242624,-0.391606531,0.627684519,-0.609617129,1.346287445,1.724806866,-0.123862015,1.026961996,0.03482033,-1.082673686,0.670225739,-0.40707471,0.364757361,-0.309479897,0.257543291,0.557749903,-0.128870815,1.142694916,0.437897369,1.058648229,0.354481427,-0.526767404,-0.368643122,0.427861404,-0.379782997,0.570873644,0.322409413,-0.10388452,-0.343318816,0.208102464,0.374970085,0.188986221,-1.001962432,-0.524503913,1
37,22.45414484,0.026481203,-1.849910951,0.142112303,-1.427028832,0.981781957,0.337614412,-2.011936673,-0.343167871,-1.10374542,1.107439801,-1.105390929,-0.154135203,2.050548377,-0.383494434,1.495388672,0.916434888,-0.790633992,0.981091518,-1.606364811,0.107152915,-0.556822212,0.317273472,0.82013438,-0.250998138,0.027198887,0.833418415,0.151485083,0.44989741,-0.135034228,0.671755084,0.397630569,0.375902197,-0.430263547,0.467771257,0.75589849,-0.914492295,-0.550921067,-0.22319823,-1.12434768,-0.378030179,0.412051732,1
38,27.39545706,-4.816099476,2.537813728,-0.965429134,1.977990084,-0.809229618,0.018741584,-1.203900257,-1.111289127,-0.440266235,-1.132593209,1.381374888,-1.090833642,0.756704352,-1.326916008,-0.192958274,-0.222372546,1.734614734,0.841455505,-0.419194038,0.882076295,-1.330719692,0.18792974,-0.533982069,1.857425601,-0.913371601,-2.312910774,-0.2232563,-0.148923467,-0.437032509,0.272540831,-0.183311923,-0.910882588,-0.931883398,0.040062287,-1.526658695,0.688716248,-0.344151648,-0.404536832,0.046068104,-0.49987548,0.381482143,1
39,-10.21075183,2.908717236,2.611726334,0.881982488,-1.105246465,1.100930999,0.224900353,-2.727952578,-0.272954844,1.811153424,-0.415942762,-0.298287316,3.72988874,0.191230858,-1.082580283,0.531623877,-1.340499881,-0.171700192,-0.191084387,-0.016859672,1.030988766,-1.224685234,0.087767455,1.416598481,0.029720069,0.497963508,1.338327602,0.969708978,0.969874776,-1.597318824,0.112745962,-0.545548119,0.078309048,1.172936498,0.603248578,-1.497364294,-0.758706645,-1.431411262,-1.28562617,-1.606045591,1.466473103,1.491035997,1
